index,cnt_programais,cmp_isemergency,opp_rating_Caliente,opp_rating_Frio,opp_rating_Templado,opp_stagename_Cancelada,opp_stagename_Cobrada,opp_stagename_Devuelta,opp_stagename_Devuelta manual,opp_stagename_Puesta al cobro,opp_stagename_SMS Donor cerrada,opp_program_Conversion prospectos,opp_program_Cultivacion socios MASS,opp_program_Cultivacion socios MID,opp_program_Cultivacion/conversion Donantes MASS,opp_program_Cultivacion/conversion Donantes MID,opp_program_Major Donors,opp_program_Mid+ Donors,opp_program_Otros 121,opp_program_Otros 12Few+,opp_program_Otros programas transversales,opp_program_Potenciales a Major Donors,opp_program_Publicos Especiales,opp_program_Reactivacion bajas MASS,opp_program_Reactivacion bajas MID,opp_program_Reactivacion/conversion EXDonantes MASS,opp_program_Reactivacion/conversion EXDonantes MID,opp_program_Retencion 1r ano MID,opp_typefundraisingcontribution_A,opp_typefundraisingcontribution_D,opp_typefundraisingcontribution_I,opp_typefundraisingcontribution_S,cnt_program_Cultivacion socios MASS,cnt_program_Cultivacion socios MID,cnt_program_Cultivacion/conversion Donantes MID,cnt_program_Major Donors,cnt_program_Mid+ Donors,cnt_program_Otros 12Few+,cnt_program_Otros programas transversales,cnt_program_Potenciales a Major Donors,cnt_program_Publicos Especiales,cnt_program_Reactivacion bajas MID,cnt_program_Reactivacion/conversion EXDonantes MID,cnt_program_Retencion 1r ano MID,cnt_membertype_Baja + Donante,cnt_membertype_Baja + Exdonante,cnt_membertype_Nada,cnt_membertype_Socio + Donante,cnt_membertype_Socio + Exdonante,cmp_campaigndonationreporting_12-Iniciativa Solidaria off line,cmp_campaigndonationreporting_13-Iniciativa Solidaria Online,cmp_campaigndonationreporting_15-Television,cmp_campaigndonationreporting_16-Captacion off resto,cmp_campaigndonationreporting_21-Digital leads (email/tlmk),cmp_campaigndonationreporting_22-Digital Publi,cmp_campaigndonationreporting_23-Digital Organico,cmp_campaigndonationreporting_31-Telemarketing fide,cmp_campaigndonationreporting_32-Mailing fide,cmp_campaigndonationreporting_33-Emailing fide,cmp_campaigndonationreporting_34-Officers Mid plus,cmp_campaigndonationreporting_35-Tlmk Mid,cmp_campaigndonationreporting_36-Fide resto,cmp_campaigndonationreporting_42-Officers Grandes donantes,cmp_campaigndonationreporting_52-Desconocido off,cmp_campaigndonationreporting_53-Resto,cmp_campaignentryreporting_18-Captacion off resto,cmp_campaignentryreporting_19-Desconocido off,cmp_campaignentryreporting_21-Digital leads (email/tlmk),cmp_campaignentryreporting_22-Digital publi,cmp_campaignentryreporting_23-Digital Organico,cmp_campaignentryreporting_31-Mailing revista memoria Fide,cmp_campaignentryreporting_32-Tlmk conversion,cmp_campaignentryreporting_33-Emailing fide,cmp_campaignentryreporting_34-Fide resto,cmp_campaignentryreporting_36-Tlmk impagos,cmp_campaignentryreporting_41-Resto,cmp_isonline_No,cmp_isonline_Si,cmp_objective_Captacion de leads,cmp_objective_Captacion de socios o donantes,cmp_objective_Cultivacion,cmp_objective_Desconocido,cmp_objective_Recuperacion,cmp_objective_Upgrade,cmp_objectivepublic_MASS,cmp_segment_Celebraciones,cmp_segment_Desconocido,cmp_segment_Frio individuos,cmp_segment_Mass donors,cmp_segment_Mid donors,cmp_segment_Mid+ donors,cmp_segment_One to One,cmp_status_Completed,cmp_status_Created,cmp_status_In Progress,rcd_installmentperiod_Bimensual,rcd_installmentperiod_Monthly,rcd_installmentperiod_Quarterly,rcd_installmentperiod_Semestral,rcd_installmentperiod_Yearly,opp_type_In-Kind Gift,opp_type_Membership,opp_type_One off Donation,opp_type_Recovered Quota,opp_type_Recurrent Donation,opp_type_SMS Donor,opp_type_Solidarity initiative,cnt_id,cnt_programaherencias,cnt_programaherencias_pred
145214,False,True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0033Y00002unS9mQAE,False,1.0
747914,False,True,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0033Y00002upkmJQAQ,False,1.0
653996,False,True,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0033Y00002uqyOnQAI,False,1.0
30340,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0033Y00002uqB15QAE,False,1.0
815088,False,False,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0033Y00002unxH8QAI,False,1.0
589843,False,False,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0033Y00002uNVaCQAW,False,1.0
90340,False,False,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0033Y00002unl6PQAQ,False,1.0
141829,False,False,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0033Y00002up1L6QAI,False,1.0
771335,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0033Y00002uoxt2QAA,False,1.0
380272,False,False,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0033Y00002upkkSQAQ,False,1.0
